#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
1H|MG011|45.806393|-123.454192|488.325|Sunset Rest Stop, OR, USA|2013-08-02T23:48:37|2013-09-11T16:42:43
1H|MH013|45.575981|-123.138456|48.790625|VDS Farms, OR, USA|2013-07-08T22:32:02|2013-09-03T20:01:45
1H|MJ010|45.132654|-123.920942|125.8|Jackson Ten, OR, USA|2013-08-22T23:39:18|2013-09-07T21:36:48
1H|MJ013|45.104232|-123.217238|52.05|Amity, OR, USA|2013-08-30T22:43:56|2013-09-14T18:57:13
1H|MK010|44.91388|-123.078588|42.9|Shalom Park, OR, USA|2013-09-09T20:54:03|2013-09-27T20:18:45
1H|MN011|44.218367|-123.760065|457.5|Dumb Hell Butte, OR, USA|2013-09-06T03:08:25|2013-10-07T20:50:16
1H|MO010|44.02084|-124.049205|66.85|Florence, OR, USA|2013-08-29T01:29:20|2013-09-12T18:19:42
1H|MO012|43.993328|-122.970422|149.025|Mount Pisgah, OR, USA|2013-08-23T20:03:56|2013-09-25T18:15:22
1H|MP010|43.768233|-124.078001|84.325|Reedsport, OR, USA|2013-07-26T22:39:57|2013-10-11T21:01:30
1H|MQ011|43.544066|-123.922814|521.75|Elliot State Forest, OR, USA|2013-06-22T03:00:00|2014-06-17T22:03:29
7D|FN01C|46.882301|-124.333298|-56.0|LDEO OBS TRAWL-RESISTANT|2013-08-30T00:00:00|2014-06-27T23:59:59
7D|FN02C|46.949699|-124.428001|-67.0|LDEO OBS TRAWL-RESISTANT|2013-08-31T00:00:00|2014-06-28T23:59:59
7D|FN03C|46.887199|-124.525101|-93.0|LDEO OBS TRAWL-RESISTANT|2013-08-31T00:00:00|2014-06-28T23:59:59
7D|FN04C|46.9175|-124.601303|-104.0|LDEO OBS TRAWL-RESISTANT|2013-08-31T00:00:00|2014-06-26T23:59:59
7D|FN05C|46.857498|-124.655602|-123.0|LDEO OBS TRAWL-RESISTANT|2013-08-31T00:00:00|2014-06-26T23:59:59
7D|FN06C|46.922001|-124.7313|-137.0|LDEO OBS TRAWL-RESISTANT|2013-09-01T00:00:00|2014-06-29T23:59:59
7D|FN07C|46.8554|-124.786003|-158.0|LDEO OBS TRAWL-RESISTANT|2013-09-01T00:00:00|2014-06-29T23:59:59
7D|FN08C|46.888699|-124.875999|-176.0|LDEO OBS TRAWL-RESISTANT|2013-09-02T00:00:00|2014-06-30T23:59:59
7D|FN09C|46.840199|-124.887199|-198.0|LDEO OBS TRAWL-RESISTANT|2013-09-01T00:00:00|2014-07-01T23:59:59
7D|FN10C|46.898102|-124.9935|-811.0|LDEO OBS TRAWL-RESISTANT|2013-09-02T00:00:00|2014-06-26T23:59:59
7D|FN11C|46.820499|-125.045403|-619.0|LDEO OBS TRAWL-RESISTANT|2013-09-02T00:00:00|2014-06-26T23:59:59
7D|FN12C|46.888699|-125.119003|-656.0|LDEO OBS TRAWL-RESISTANT|2013-09-03T00:00:00|2014-06-30T23:59:59
7D|FN13C|47.000401|-125.301102|-1764.0|LDEO OBS STANDARD DEEP|2013-09-04T00:00:00|2014-06-28T23:59:59
7D|FN14C|47.024899|-124.964203|-173.0|LDEO OBS TRAWL-RESISTANT|2013-09-03T00:00:00|2014-06-28T23:59:59
7D|FN16C|46.800499|-125.500099|-1728.0|LDEO OBS STANDARD DEEP|2013-09-04T00:00:00|2014-06-30T23:59:59
7D|FN17C|46.681599|-125.000504|-1015.0|LDEO OBS TRAWL-RESISTANT|2013-09-03T00:00:00|2014-06-25T23:59:59
7D|FN18C|46.7001|-124.7248|-166.0|LDEO OBS TRAWL-RESISTANT|2013-09-02T00:00:00|2014-06-25T23:59:59
7D|FN19C|46.730099|-124.366798|-72.0|LDEO OBS TRAWL-RESISTANT|2013-08-30T00:00:00|2014-06-29T23:59:59
7D|J21C|44.534199|-128.037598|-2847.0|WHOI OBS ID S86|2013-08-08T00:00:00|2014-05-14T23:59:59
7D|J23C|44.8438|-129.681|-2653.0|WHOI OBS ID S82|2013-08-08T00:00:00|2014-05-15T23:59:59
7D|J25C|44.473|-124.621696|-144.0|SIO OBS ID J25C|2013-08-22T00:00:00|2014-06-01T23:59:59
7D|J26C|44.6534|-125.465302|-2868.0|LDEO OBS STANDARD DEEP|2013-09-06T00:00:00|2014-06-24T23:59:59
7D|J28C|45.061699|-127.1567|-2889.0|WHOI OBS ID S87|2013-08-02T00:00:00|2014-05-21T23:59:59
7D|J29C|45.1731|-128.005798|-2816.0|WHOI OBS ID T109|2013-08-02T00:00:00|2014-07-07T23:59:59
7D|J30C|45.426102|-128.910004|-2786.0|WHOI OBS ID T103|2013-08-07T00:00:00|2014-05-15T23:59:59
7D|J31C|45.551899|-129.672394|-2624.0|WHOI OBS ID T104|2013-08-07T00:00:00|2014-05-15T14:45:00
7D|J32C|45.7145|-130.602997|-2756.0|WHOI OBS ID S81|2013-08-08T00:00:00|2014-05-15T23:59:59
