Station Orientation 2sigma N
FN01C 72 65 2
FN02C 141 57 5
FN03C 26 70 38
FN04C 163 55 35
FN05C 357 43 15
FN07C 171 32 7
FN08C 324 71 8
FN09C 162 25 19[
FN10C 245 2 2
FN11C 252 74 4
FN12C 318 41 7
FN13C 76 48 10
FN14C 221 80 16
FN19C 182 50 20
J26C 63 64 13
J34C 325 56 10
J41C 346 78 12
J42C 225 54 17
J49C 96 59 23
J50C 339 42 12
J57C 103 77 3
J58C 115 39 14
J59C 333 71 8
M06C 359 29 14
J25C 215 36 5
J33C 215 27 11
J52C 129 26 27
J53C 301 27 31
J61C 173 17 22
J65C 109 79 9
J68C 141 5 24
J73C 329 26 8
M01C 138 6 8
M02C 88 20 2
M03C 327 24 15
M04C 103 21 10
M05C 194 15 9
M08C 92 9 9
J21C 42 32 10
J23C 147 7 10
J28C 186 12 4
J29C 59 29 37
J30C 65 26 29
J31C 234 33 29
J32C 97 3 4
J35C 333 32 18
J36C 33 20 16
J37C 228 22 18
J38C 245 36 17
J39C 268 18 22
J43C 118 28 19
J44C 303 33 19
J45C 109 18 28
J46C 175 17 25
J47C 219 39 21
J48C 290 33 11
J54C 84 14 4
J55C 127 30 11
J63C 100 15 9
J67C 178 8 6
J69C 37 6 7
