'longitude', 'latitude', 'depth', 'mrr', 'mtt', 'mff', 'mrt', 'mrf', 'mtf', 'exponent', 'event_name'
0 0 0 0.279 -2.21 1.931 0.61 1.192 0.478 24 2008FS_Grond_best
0 0 0 0.227 -2.243 2.016 0.545 1.296 0.518 24 2008FS_Grond_mean
0 0 0 -0.10 -3.67 3.78 1.01 0.20 1.34 24 2008FS_GCMT
0 0 0 -17727.15625 -32397.54102 32093.21484 -18649.89062 14509.86523 -9037.11426 20 2008FS_PGC
0 0 0 0.082 -5.531 5.449 -0.654 0.923 1.503 25 200801_Grond_mean
0 0 0 0.008 -5.530 5.450 -0.654 0.923 1.500 25 200801_Grond_best
0 0 0 -0.92 -7.53 8.45 -0.89 2.49 3.51 25 200801_USGS_Wphase
0 0 0 -0.67 -8.31 8.98 1.90 -0.04 3.79 25 200801_GCMT
0 0 0 0.08 -7.04 4.11 -3.57 -0.87 2.80 25 200801_PGC 
0 0 0 -0.20 -4.90 5.09 0.93 0.09 1.72 25 200802_USGS_CMT
0 0 0 -0.195 -4.9 5.09 0.929 0.093 1.72 25 200802_GCMT
0 0 0 -1.84 -3.68 3.92 -2.80 -1.74 0.98 25 200802_PGC
0 0 0 -0.047 -4.670 4.720 -0.327 0.777 -0.936 25 201801_Grond_best
0 0 0 -0.081 -4.550 4.630 -0.274 0.738 -1.075 25 201801_Grond_mean
0 0 0 -0.854 -7.103 7.957 -0.782 1.71 -2.134 25 201801_USGS_Wphase
0 0 0 -0.195 -4.900 5.090 0.929 0.093 1.720 25 201801_GCMT
0 0 0 -0.434 -0.797 1.796 -0.635 -0.73 -0.192 25 201801_PGC
0 0 0 -0.0001 -1.179 1.180 0.042 0.225 -0.279 26 201802_Grond_best
0 0 0 -0.012 -1.120 1.132 -0.006 0.162 -0.247 26 201802_Grond_mean
0 0 0 -0.1632 -1.713 1.88 0.316 0.1414 -0.415 26 201802_USGS_Wphase
0 0 0 -0.156  -1.560 1.71 0.076 -0.021 -0.417 26 201802_GCMT
0 0 0 0.8420 -5.071 1.984 -0.284 3.483 -5.272 25 201802_PGC
0 0 0 0.003 -5.969  5.966  0.524 -0.340 2.304 25 201803_USGS_Wphase
0 0 0 -0.024 -5.60  5.620  0.087 -1.210 2.340 25 201803_GCMT
0 0 0 -0.2483 -3.02 3.272 0.290 0.2784 -0.398 26 2018_sum_USGS_Wphase

