"year","month","day","hour","minute","second","Lat","Long","Dep"
2024,7,20,22,1,24.27,50.980632,-130.545076,5.981
2024,7,20,23,51,10.52,50.66484,-130.423324,8.96
2024,7,21,1,36,3.57,51.002775,-130.577165,6.819
2024,7,21,1,54,55.83,50.999443,-130.578019,6.259
2024,7,21,3,33,32.61,50.992244,-130.767025,5.364
2024,7,21,6,21,13.01,50.834318,-130.511239,6.852
2024,7,21,8,39,35.96,51.032638,-130.684188,11.118
2024,7,21,11,20,35.36,51.101294,-130.477824,12.137
2024,7,21,17,1,52.13,50.995471,-130.536694,5.639
2024,7,21,17,5,57.7,50.777356,-130.487891,7.23
2024,7,21,17,52,54.65,51.114225,-130.639323,7.934
2024,7,22,0,12,6.39,51.359216,-131.113932,8.657
2024,7,22,3,53,12.64,51.306222,-130.856348,20.886
2024,7,22,5,11,16.99,50.662988,-130.449072,16.996
2024,7,22,7,31,19.94,51.403109,-131.078076,21.711
2024,7,22,13,27,13.15,51.029476,-130.588192,16.283
2024,7,22,20,39,41.74,51.510128,-131.204167,14.518
2024,7,23,4,33,24.86,51.276668,-131.150635,6.438
2024,7,23,6,58,43.21,51.347538,-131.166821,9.759
2024,7,23,8,20,59.4,51.019828,-130.634049,8.157
2024,7,23,9,27,46.71,51.135575,-130.699349,9.6
2024,7,23,9,52,21.57,51.344368,-131.169385,6.428
2024,7,23,11,10,22.89,51.368018,-130.670321,14.843
2024,7,23,12,19,14.74,50.71807,-130.421175,8.121
2024,7,23,16,12,15.51,50.696851,-130.423787,19.53
2024,7,23,18,10,2.66,50.576835,-130.370589,20.536
2024,7,23,19,2,23.99,51.53079,-130.817334,12.024
2024,7,23,22,4,13.88,51.946061,-131.492301,14.022
2024,7,24,4,53,16.37,50.726282,-130.491935,17.544
2024,7,24,5,11,35.29,51.349752,-131.167668,10.829
2024,7,24,7,18,2.13,51.013436,-130.533488,9.9
2024,7,24,7,39,56.88,50.807536,-130.562484,15.79
2024,7,24,8,59,3.98,51.399186,-131.054574,7.424
2024,7,24,9,12,35.19,51.257568,-130.641252,8.536
2024,7,24,9,54,17.11,52.151668,-132.089461,19.208
