time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-02T15:35:52.207Z,49.2777,-128.7411,10,4.1,mb,31,97,1.419,1.07,us,us7000nhqw,2024-10-04T22:09:37.067Z,"188 km SW of Port McNeill, Canada",earthquake,5.67,1.968,0.08,42,reviewed,us,us
2024-09-22T09:16:22.727Z,49.0891,-128.2648,10,2.9,ml,37,195,1.555,1.08,us,us6000ntn0,2024-10-01T10:11:02.040Z,"172 km W of Tofino, Canada",earthquake,3.27,2.005,0.048,56,reviewed,us,us
2024-09-18T12:02:12.490Z,51.5621,-130.6399,10,4.2,mb,32,187,0.809,0.78,us,us6000nsvf,2024-10-08T17:42:19.623Z,"271 km WNW of Port McNeill, Canada",earthquake,4.34,1.995,0.087,37,reviewed,us,us
2024-09-16T01:43:25.399Z,51.3822,-130.8184,10,4.7,mwr,82,151,0.942,0.8,us,us7000ne5y,2024-10-15T22:19:23.961Z,"276 km WNW of Port McNeill, Canada",earthquake,3.83,1.864,0.078,16,reviewed,us,us
2024-09-15T23:26:47.109Z,51.5327,-130.6439,10,4,mb,15,207,0.835,0.96,us,us7000ng8y,2024-10-10T03:53:40.390Z,"270 km WNW of Port McNeill, Canada",earthquake,5.72,1.935,0.118,19,reviewed,us,us
2024-09-15T22:22:48.323Z,51.5827,-130.6302,6.037,6.5,mww,173,40,0.793,0.6,us,us7000ne51,2024-10-11T20:09:01.098Z,"271 km WNW of Port McNeill, Canada",earthquake,3.98,2.853,0.025,150,reviewed,us,us
2024-09-15T21:39:52.692Z,51.7148,-130.6856,7.303,4,mb,22,188,0.66,1,us,us7000ng8w,2024-10-08T00:02:56.715Z,"281 km WNW of Port McNeill, Canada",earthquake,4.76,5.465,0.086,36,reviewed,us,us
2024-09-04T03:17:13.716Z,53.4132,-133.3078,10,4,mwr,27,190,0.85,0.51,us,us6000npl9,2024-10-08T17:21:12.931Z,"202 km S of Hydaburg, Alaska",earthquake,5.99,1.689,0.059,28,reviewed,us,us
2024-08-07T04:49:03.770Z,48.705,-125.5465,4.89,2.58,ml,12,218,0.2198,0.64,uw,uw62033191,2024-08-16T21:09:09.550Z,"26 km S of Ucluelet, Canada",earthquake,2.55,53.75,0.20121548941096146,6,reviewed,uw,uw
2024-08-02T08:19:25.081Z,48.6527,-128.7874,10,4.1,mb,67,120,0.76,1.21,us,us6000nhir,2024-10-11T19:39:08.040Z,"218 km WSW of Tofino, Canada",earthquake,5.66,1.943,0.069,58,reviewed,us,us
2024-07-23T16:12:14.615Z,50.6244,-129.8113,10,4.4,mb,109,146,1.069,0.61,us,us6000nexj,2024-10-08T21:49:10.005Z,"192 km W of Port McNeill, Canada",earthquake,7.41,1.858,0.035,247,reviewed,us,us
2024-07-14T02:25:17.751Z,48.8962,-128.7941,10,4.4,mb,41,112,0.995,1.02,us,us7000mz51,2024-09-20T16:00:56.040Z,"213 km W of Tofino, Canada",earthquake,4.02,1.886,0.073,54,reviewed,us,us
2024-07-12T08:20:27.083Z,48.8765,-128.7826,10,4.8,mww,120,111,0.978,0.81,us,us7000mysw,2024-09-20T16:00:54.040Z,"212 km W of Tofino, Canada",earthquake,6.14,1.878,0.059,28,reviewed,us,us
2024-07-11T17:34:26.968Z,48.7663,-128.693,10,4.7,mwr,189,99,0.887,0.88,us,us7000myms,2024-09-20T16:00:54.040Z,"208 km WSW of Tofino, Canada",earthquake,5.47,1.858,0.059,28,reviewed,us,us
2024-07-11T16:17:21.077Z,48.8878,-128.4827,10,5.2,mww,130,94,1.051,0.79,us,us7000mym7,2024-10-09T03:07:13.980Z,"190 km W of Tofino, Canada",earthquake,5.77,1.867,0.052,36,reviewed,us,us
2024-07-11T15:35:41.801Z,48.932,-128.7769,10,4.2,mb,19,143,1.033,1.12,us,us7000myku,2024-09-20T16:00:54.040Z,"211 km W of Tofino, Canada",earthquake,4.55,1.948,0.186,8,reviewed,us,us
2024-07-11T15:17:35.633Z,48.8019,-128.7385,10,4.5,mb,40,102,0.913,0.97,us,us7000n0bt,2024-09-20T16:00:57.040Z,"210 km WSW of Tofino, Canada",earthquake,8.2,1.916,0.222,6,reviewed,us,us
2024-07-11T15:08:47.169Z,48.7877,-128.7103,10,6.4,mww,149,60,0.904,0.88,us,us7000mykj,2024-10-17T15:19:01.151Z,"209 km WSW of Tofino, Canada",earthquake,4.64,1.34,0.041,58,reviewed,us,us
2024-07-08T17:05:53.842Z,48.6368,-128.8617,10,4.4,mwr,66,119,0.732,0.74,us,us7000mxuc,2024-09-20T16:00:52.040Z,"224 km WSW of Tofino, Canada",earthquake,4.61,1.809,0.058,29,reviewed,us,us
2024-07-08T15:06:44.416Z,48.671,-128.9811,10,5.2,mww,123,100,0.752,0.67,us,us7000mxsp,2024-09-20T16:00:52.040Z,"231 km WSW of Tofino, Canada",earthquake,6.31,1.826,0.039,62,reviewed,us,us
2024-07-06T11:01:06.526Z,48.3258,-128.9731,10,4.2,mb,53,121,0.412,0.86,us,us7000mxeq,2024-09-12T21:52:29.040Z,"243 km WSW of Tofino, Canada",earthquake,6.05,1.955,0.053,101,reviewed,us,us
2024-07-05T16:34:05.013Z,48.5948,-129.0625,10,5.3,mww,55,111,0.672,1.19,us,us7000mxaz,2024-09-12T21:52:29.040Z,"239 km WSW of Tofino, Canada",earthquake,3.57,1.85,0.041,57,reviewed,us,us
2024-07-05T09:05:11.122Z,48.6219,-128.7593,10,4,mb,54,130,0.736,0.63,us,us7000mx73,2024-09-12T21:52:29.040Z,"217 km WSW of Tofino, Canada",earthquake,5.13,1.983,0.054,94,reviewed,us,us
2024-07-05T02:09:03.151Z,48.8228,-128.704,10,4.3,mb,44,193,1.857,0.96,us,us7000mx5q,2024-09-12T21:52:28.040Z,"207 km W of Tofino, Canada",earthquake,7.61,1.946,0.049,117,reviewed,us,us
2024-07-05T01:48:43.127Z,48.5998,-128.8591,10,4.4,mb,36,130,0.696,1.21,us,us7000mx5p,2024-09-12T21:52:28.040Z,"225 km WSW of Tofino, Canada",earthquake,5.63,1.835,0.101,28,reviewed,us,us
2024-07-04T23:13:29.156Z,48.5197,-128.7902,10,4.3,mb,28,123,0.633,0.47,us,us7000mx5b,2024-09-12T21:52:28.040Z,"223 km WSW of Tofino, Canada",earthquake,3.75,1.91,0.05,114,reviewed,us,us
2024-07-04T21:20:20.355Z,48.4607,-128.9043,10,4.4,mb,41,130,0.554,0.55,us,us7000mx4w,2024-09-12T21:52:28.040Z,"233 km WSW of Tofino, Canada",earthquake,9.1,1.875,0.046,138,reviewed,us,us
2024-07-04T18:31:25.054Z,48.7389,-129.0135,10,4.8,mww,105,142,0.818,0.62,us,us7000mx45,2024-09-12T21:52:28.040Z,"232 km WSW of Tofino, Canada",earthquake,8.17,1.926,0.056,31,reviewed,us,us
2024-07-04T17:43:18.003Z,48.6965,-129.0814,10,4.3,mwr,56,147,0.773,0.86,us,us7000mx40,2024-09-12T21:52:28.040Z,"238 km WSW of Tofino, Canada",earthquake,6.06,1.945,0.089,12,reviewed,us,us
2024-07-04T16:15:08.888Z,48.6536,-129.0074,10,5.7,mww,84,76,0.733,1.02,us,us7000mx3m,2024-10-09T00:10:28.889Z,"233 km WSW of Tofino, Canada",earthquake,5.13,1.433,0.035,78,reviewed,us,us
2024-07-04T16:00:18.332Z,48.7176,-129.0315,10,4.2,mb,21,155,0.796,1.37,us,us7000mx3h,2024-09-12T21:52:28.040Z,"233 km WSW of Tofino, Canada",earthquake,3.68,1.954,0.055,93,reviewed,us,us
2024-07-04T13:18:03.620Z,48.6741,-129.1852,10,4.7,mwr,45,121,0.752,0.71,us,us7000mx23,2024-09-12T21:52:28.040Z,"246 km WSW of Tofino, Canada",earthquake,6.51,1.896,0.066,22,reviewed,us,us
2024-07-04T05:01:23.413Z,48.4637,-128.8203,10,4.2,mb,47,117,0.573,0.69,us,us7000mx00,2024-09-12T21:52:28.040Z,"227 km WSW of Tofino, Canada",earthquake,6.7,1.989,0.069,58,reviewed,us,us
2024-07-03T21:14:22.750Z,48.5007,-128.6621,10,4.1,mb,105,166,2.145,0.8,us,us7000mwxq,2024-09-12T21:52:28.040Z,"214 km WSW of Tofino, Canada",earthquake,7.86,1.965,0.07,56,reviewed,us,us
2024-07-03T20:25:13.237Z,48.5091,-128.8575,10,4.9,mww,202,144,2.185,0.65,us,us6000na4y,2024-09-12T21:52:27.040Z,"228 km WSW of Tofino, Canada",earthquake,7.96,1.869,0.068,21,reviewed,us,us
2024-07-03T20:23:46.026Z,48.5928,-128.6725,10,4.3,mb,104,143,2.079,0.61,us,us6000na4w,2024-09-12T21:52:27.040Z,"212 km WSW of Tofino, Canada",earthquake,7.18,1.903,0.064,73,reviewed,us,us
2024-07-03T20:21:42.302Z,48.5794,-128.7066,10,4.3,mb,157,144,2.096,0.73,us,us6000na5b,2024-09-12T21:52:27.040Z,"215 km WSW of Tofino, Canada",earthquake,6.71,1.894,0.044,152,reviewed,us,us
2024-07-03T20:19:35.973Z,48.4656,-129.0821,10,4.5,mb,139,146,2.263,0.65,us,us7000mybh,2024-09-12T21:52:31.040Z,"245 km WSW of Tofino, Canada",earthquake,8.56,1.865,0.056,95,reviewed,us,us
2024-07-03T20:18:13.474Z,48.4906,-129.3694,10,4.6,mb,24,176,2.297,0.52,us,us6000na4t,2024-09-12T21:52:27.040Z,"264 km WSW of Tofino, Canada",earthquake,8.7,1.648,0.044,157,reviewed,us,us
